Name,Kategorie,Breitengrad,Laengengrad
Panther-Anlage,Gruenflaeche,47.3514719,8.5596032
Kluspark,Gruenflaeche,47.3642232,8.5646219
Unbekannt,Gruenflaeche,47.3954924,8.5389221
Unbekannt,Gruenflaeche,47.3868671,8.527936
Unbekannt,Gruenflaeche,47.4090444,8.5356644
Rigiplatzanlage,Gruenflaeche,47.3846534,8.5486609
Weinbergpark,Gruenflaeche,47.3791752,8.5445765
Unbekannt,Gruenflaeche,47.389937,8.5469851
Unbekannt,Gruenflaeche,47.4102219,8.5510505
Muraltengut,Gruenflaeche,47.3532758,8.532653
Kollerwiese,Gruenflaeche,47.3682223,8.5187324
